,Date,Essential,NonEssential
0,2020-02-01,27723,142892
1,2020-02-02,22367,89220
2,2020-02-03,24547,95513
3,2020-02-04,22232,89871
4,2020-02-05,18390,78959
5,2020-02-06,20948,94715
6,2020-02-07,23914,117978
7,2020-02-08,24705,139069
8,2020-02-09,20306,94470
9,2020-02-10,22515,86307
10,2020-02-11,20699,83852
11,2020-02-12,21698,89250
12,2020-02-13,22974,95696
13,2020-02-14,25135,118876
14,2020-02-15,22027,122363
15,2020-02-16,19632,94575
16,2020-02-17,21697,85405
17,2020-02-18,20058,81868
18,2020-02-19,20120,85855
19,2020-02-20,22823,101050
20,2020-02-21,23627,115332
21,2020-02-22,21648,118657
22,2020-02-23,19629,87863
23,2020-02-24,23419,91543
24,2020-02-25,17880,70972
25,2020-02-26,24616,102796
26,2020-02-27,24451,105307
27,2020-02-28,24753,121567
28,2020-02-29,17843,93191
